pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/38/be/cd/ucla-building.jpg?w=800&h=400&s=1'>,"<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d144145-Reviews-University_of_California_Los_Angeles_UCLA-Los_Angeles_California.html'>University of California, Los Angeles (UCLA)</a>",Educational sites,4.5,679.0,#60,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a3/65/8c/drum-barracks-civil-war.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d215114-Reviews-Drum_Barracks_Civil_War_Museum-Los_Angeles_California.html'>Drum Barracks Civil War Museum</a>,Military Museums,4.5,10.0,#260,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/9a/cf/86/filename-17471-267735677840.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156699-Reviews-University_of_Southern_California-Los_Angeles_California.html'>University of Southern California</a>,Educational sites,4.5,333.0,#95,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/40/5b/31/lanes.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2044577-Reviews-L_A_Live-Los_Angeles_California.html'>L.A. Live</a>,Points of Interest & Landmarks,4.0,194.0,#138,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/7e/ec/a9/the-bicycle-hotel-casino.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32057-d4820065-Reviews-The_Bicycle_Hotel_Casino-Bell_Gardens_California.html'>The Bicycle Hotel & Casino</a>,Casinos,4.5,129.0,#164,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/5b/75/4f/the-temple-s-exterior.jpg?w=900&h=500&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2513559-Reviews-Wat_Thai_of_Los_Angeles-Los_Angeles_California.html'>Wat Thai of Los Angeles</a>,Sacred & Religious Sites,4.5,15.0,#255,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/3a/19/ef/the-spa-at-terranea.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32944-d12868624-Reviews-The_Spa_at_Terranea-Rancho_Palos_Verdes_California.html'>The Spa at Terranea</a>,Spas,4.0,12.0,#258,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/71/27/44/rooftop-skyline.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d1231268-Reviews-Downtown_Historic_District-Los_Angeles_California.html'>Downtown Historic District</a>,Historic Walking Areas,3.5,239.0,#122,8
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/01/7d/a4/old-plaza.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d560867-Reviews-Old_Plaza-Los_Angeles_California.html'>Old Plaza</a>,Historic Sites,4.0,32.0,#238,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a5/32/69/the-mausoleum-on-marengo.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g29085-d7913707-Reviews-Mountain_View_Cemetery-Altadena_California.html'>Mountain View Cemetery</a>,Cemeteries,4.0,8.0,#262,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/ea/89/b1/japanese-garden.jpg?w=800&h=400&s=1'>,"<a  href='https://www.tripadvisor.com/Attraction_Review-g33029-d110203-Reviews-The_Huntington_Library_Art_Museum_and_Botanical_Gardens-San_Marino_California.html'>The Huntington Library, Art Museum and Botanical Gardens</a>",Historic Sites,5.0,2404.0,#21,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/91/3f/27/norton-simon-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d1028626-Reviews-Norton_Simon_Museum-Pasadena_California.html'>Norton Simon Museum</a>,Art Museums,5.0,1238.0,#37,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/44/7e/rodeo-drive.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32070-d116580-Reviews-Rodeo_Drive-Beverly_Hills_California.html'>Rodeo Drive</a>,Points of Interest & Landmarks,4.0,5491.0,#9,13
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/cd/68/b9/textile-area.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156676-Reviews-LA_Fashion_District-Los_Angeles_California.html'>LA Fashion District</a>,Neighborhoods,4.0,276.0,#113,14
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/06/b1/04/descanso-gardens.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32573-d127284-Reviews-Descanso_Gardens-La_Canada_Flintridge_California.html'>Descanso Gardens</a>,Gardens,4.5,435.0,#78,15
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/aa/d5/95/getlstd-property-photo.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g29105-d6496840-Reviews-Vine_Vera-Arcadia_California.html'>Vine Vera</a>,Spas,4.5,283.0,#109,16
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/54/92/9d/the-broad-museum-grand.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d8645857-Reviews-The_Broad-Los_Angeles_California.html'>The Broad</a>,Art Museums,4.5,1710.0,#29,17
