pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/36/3f/ea/looking-upward-at-the.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d103415-Reviews-Watts_Towers-Los_Angeles_California.html'>Watts Towers</a>,Historic Sites,4.0,259.0,#116,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/97/c4/photo-by-michael-underwood.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32272-d7038100-Reviews-The_Wende_Museum_of_the_Cold_War-Culver_City_California.html'>The Wende Museum of the Cold War</a>,Specialty Museums,5.0,170.0,#149,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/54/92/9d/the-broad-museum-grand.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d8645857-Reviews-The_Broad-Los_Angeles_California.html'>The Broad</a>,Art Museums,4.5,1710.0,#29,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/63/0f/a3/los-angeles-county-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d106166-Reviews-Los_Angeles_County_Museum_of_Art-Los_Angeles_California.html'>Los Angeles County Museum of Art</a>,Art Museums,4.5,2789.0,#19,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/12/f9/28/aftermath-of-the-holocaust.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d3247718-Reviews-Los_Angeles_Museum_of_the_Holocaust-Los_Angeles_California.html'>Los Angeles Museum of the Holocaust</a>,History Museums,4.5,215.0,#131,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/c9/6c/89/sunken-city.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d5456707-Reviews-Sunken_City-Los_Angeles_California.html'>Sunken City</a>,Points of Interest & Landmarks,4.0,34.0,#236,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/55/b3/fd/autry-national-center.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156644-Reviews-Autry_Museum_of_the_American_West-Los_Angeles_California.html'>Autry Museum of the American West</a>,History Museums,4.5,611.0,#65,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0c/c0/cc/love-it.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d6963646-Reviews-Mosaic_Tile_House-Los_Angeles_California.html'>Mosaic Tile House</a>,Points of Interest & Landmarks,4.5,31.0,#239,8
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/44/7e/rodeo-drive.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32070-d116580-Reviews-Rodeo_Drive-Beverly_Hills_California.html'>Rodeo Drive</a>,Points of Interest & Landmarks,4.0,5491.0,#9,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/cf/79/97/fowler-museum-courtyard.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d618957-Reviews-Fowler_Museum-Los_Angeles_California.html'>Fowler Museum</a>,Specialty Museums,4.5,28.0,#242,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/47/dc/7f/natural-history-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d103412-Reviews-Natural_History_Museum_of_Los_Angeles_County-Los_Angeles_California.html'>Natural History Museum of Los Angeles County</a>,Natural History Museums,4.5,1321.0,#35,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/96/f1/71/california-african-american.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127482-Reviews-California_African_American_Museum-Los_Angeles_California.html'>California African American Museum</a>,Art Museums,4.0,57.0,#213,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0b/e4/04/annenberg-space-for-photograph.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2554782-Reviews-Annenberg_Space_for_Photography-Los_Angeles_California.html'>Annenberg Space for Photography</a>,Art Galleries,4.5,319.0,#99,13
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/b3/22/armand-hammer-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127420-Reviews-Hammer_Museum-Los_Angeles_California.html'>Hammer Museum</a>,Art Galleries,4.0,181.0,#143,14
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/88/bb/f1/filename-los-angeles.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2645568-Reviews-Museum_of_Tolerance-Los_Angeles_California.html'>Museum of Tolerance</a>,Specialty Museums,4.5,167.0,#150,15
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/6e/98/14/airplane-wreckage-sculpture.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127399-Reviews-The_Museum_of_Contemporary_Art-Los_Angeles_California.html'>The Museum of Contemporary Art</a>,Art Museums,4.0,291.0,#105,16
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/77/71/be/by-justefrain-available.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d108333-Reviews-Japanese_American_National_Museum-Los_Angeles_California.html'>Japanese American National Museum</a>,Specialty Museums,4.5,367.0,#88,17
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/4b/c2/3b/the-skirball-cultural.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127362-Reviews-Skirball_Cultural_Center-Los_Angeles_California.html'>Skirball Cultural Center</a>,Specialty Museums,4.5,382.0,#86,18
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/91/3f/27/norton-simon-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d1028626-Reviews-Norton_Simon_Museum-Pasadena_California.html'>Norton Simon Museum</a>,Art Museums,5.0,1238.0,#37,19
