pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/5b/75/4f/the-temple-s-exterior.jpg?w=900&h=500&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2513559-Reviews-Wat_Thai_of_Los_Angeles-Los_Angeles_California.html'>Wat Thai of Los Angeles</a>,Sacred & Religious Sites,4.5,15.0,#255,1
<img class='img-responsive' src='background-image: none'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127352-Reviews-Bradbury_Building-Los_Angeles_California.html'>Bradbury Building</a>,Architectural Buildings,4.5,621.0,#64,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f9/90/d7/prefeitura-de-santa-monica.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33052-d5030827-Reviews-City_Hall-Santa_Monica_California.html'>City Hall</a>,Points of Interest & Landmarks,4.0,29.0,#241,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b1/2a/a9/june-26-2017.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32136-d3609867-Reviews-Malibu_Hindu_Temple-Calabasas_California.html'>Malibu Hindu Temple</a>,Sacred & Religious Sites,4.0,53.0,#217,4
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d8474511-Reviews-Thai_Town-Los_Angeles_California.html'>Thai Town</a>,Neighborhoods,3.5,7.0,#263,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/00/ed/2e/caption.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d127384-Reviews-The_Gamble_House-Pasadena_California.html'>The Gamble House</a>,Specialty Museums,4.5,588.0,#68,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/47/34/e1/food.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d3334915-Reviews-Little_Ethiopia-Los_Angeles_California.html'>Little Ethiopia</a>,Neighborhoods,4.5,8.0,#262,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/fa/5f/27/city-hall.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d6609432-Reviews-City_of_Pasadena_City_Hall-Pasadena_California.html'>City of Pasadena City Hall</a>,Points of Interest & Landmarks,4.5,259.0,#116,8
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/71/27/44/rooftop-skyline.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d1231268-Reviews-Downtown_Historic_District-Los_Angeles_California.html'>Downtown Historic District</a>,Historic Walking Areas,3.5,239.0,#122,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/33/18/28/behind-the-scenes-hippo.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d116885-Reviews-Los_Angeles_Zoo_Botanical_Gardens-Los_Angeles_California.html'>Los Angeles Zoo & Botanical Gardens</a>,Zoos,4.0,969.0,#44,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/62/e2/e4/the-showroom.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d674542-Reviews-The_Nethercutt_Collection-Los_Angeles_California.html'>The Nethercutt Collection</a>,Specialty Museums,5.0,846.0,#50,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/cd/68/b9/textile-area.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156676-Reviews-LA_Fashion_District-Los_Angeles_California.html'>LA Fashion District</a>,Neighborhoods,4.0,276.0,#113,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/ea/89/b1/japanese-garden.jpg?w=800&h=400&s=1'>,"<a  href='https://www.tripadvisor.com/Attraction_Review-g33029-d110203-Reviews-The_Huntington_Library_Art_Museum_and_Botanical_Gardens-San_Marino_California.html'>The Huntington Library, Art Museum and Botanical Gardens</a>",Historic Sites,5.0,2404.0,#21,13
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32477-d12214462-Reviews-Kozy_s_Tiki_Palace-Hawaiian_Gardens_California.html'>Kozy's Tiki Palace</a>,Comedy Clubs,5.0,27.0,#243,14
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/95/fc/b0/little-tokyo-in-los-angeles.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d144151-Reviews-Little_Tokyo-Los_Angeles_California.html'>Little Tokyo</a>,Neighborhoods,4.0,832.0,#51,15
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6d/0c/50/unique.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d258384-Reviews-Walt_Disney_Concert_Hall-Los_Angeles_California.html'>Walt Disney Concert Hall</a>,Points of Interest & Landmarks,4.5,3034.0,#17,16
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3c/13/a5/different.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d12408051-Reviews-Museum_of_Ice_Cream-Los_Angeles_California.html'>Museum of Ice Cream</a>,Specialty Museums,4.5,84.0,#194,17
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/75/73/cb/los-angeles.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d142962-Reviews-Angels_Flight_Railway-Los_Angeles_California.html'>Angels Flight Railway</a>,Historic Sites,4.0,391.0,#84,18
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/9f/0b/98/fort-mcarthur-military.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d560761-Reviews-Fort_McArthur_Military_Museum-Los_Angeles_California.html'>Fort McArthur Military Museum</a>,Military Museums,4.5,20.0,#250,19
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/69/72/a2/photo1jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156679-Reviews-Hollyhock_House-Los_Angeles_California.html'>Hollyhock House</a>,Specialty Museums,4.5,175.0,#146,20
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/b1/51/82/homes-in-the-historic.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32215-d6571595-Reviews-Russian_Village_District-Claremont_California.html'>Russian Village District</a>,Points of Interest & Landmarks,4.0,15.0,#255,21
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/86/46/a7/hollywood-forever-cemetery.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d271986-Reviews-Hollywood_Forever_Cemetery-Los_Angeles_California.html'>Hollywood Forever Cemetery</a>,Cemeteries,4.5,404.0,#82,22
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32531-d8702286-Reviews-Huy_Fong_Foods-Irwindale_California.html'>Huy Fong Foods</a>,Factory Tours,5.0,64.0,#208,23
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/8e/99/01/wayfarers-chapel.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32944-d156268-Reviews-Glass_Church_Wayfarers_Chapel-Rancho_Palos_Verdes_California.html'>Glass Church / Wayfarers Chapel</a>,Sacred & Religious Sites,5.0,394.0,#83,24
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/06/b1/04/descanso-gardens.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32573-d127284-Reviews-Descanso_Gardens-La_Canada_Flintridge_California.html'>Descanso Gardens</a>,Gardens,4.5,435.0,#78,25
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/97/f1/78/the-santee-alley.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2695296-Reviews-The_Santee_Alley-Los_Angeles_California.html'>The Santee Alley</a>,Flea & Street Markets,3.5,132.0,#162,26
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/5a/64/63/pierce-brothers-westwood.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d644702-Reviews-Pierce_Brothers_Westwood_Village_Memorial_Park-Los_Angeles_California.html'>Pierce Brothers Westwood Village Memorial Park</a>,Cemeteries,4.5,445.0,#75,27
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a4/f4/7f/travel-town.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d116886-Reviews-Travel_Town-Los_Angeles_California.html'>Travel Town</a>,Specialty Museums,4.5,161.0,#153,28
