pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/86/5a/86/santa-monica.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33052-d283270-Reviews-Santa_Monica_Farmers_Market-Santa_Monica_California.html'>Santa Monica Farmers Market</a>,Flea & Street Markets,4.5,174.0,#147,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/27/a2/3a/photo5jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d258226-Reviews-Cathedral_of_Our_Lady_of_the_Angels-Los_Angeles_California.html'>Cathedral of Our Lady of the Angels</a>,Architectural Buildings,4.5,543.0,#71,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/41/39/63/hollywood-farmers-market.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d7603086-Reviews-Hollywood_Farmers_Market-Los_Angeles_California.html'>Hollywood Farmers Market</a>,Farmers Markets,4.5,170.0,#149,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/91/3f/27/norton-simon-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d1028626-Reviews-Norton_Simon_Museum-Pasadena_California.html'>Norton Simon Museum</a>,Art Museums,5.0,1238.0,#37,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d0/a9/49/photo0jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32911-d10665453-Reviews-Farm_Store_at_Kellogg_Ranch-Pomona_California.html'>Farm Store at Kellogg Ranch</a>,Farms,5.0,32.0,#238,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/97/c4/photo-by-michael-underwood.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32272-d7038100-Reviews-The_Wende_Museum_of_the_Cold_War-Culver_City_California.html'>The Wende Museum of the Cold War</a>,Specialty Museums,5.0,170.0,#149,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f4/11/ce/img-26311-largejpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d291236-Reviews-San_Antonio_Winery-Los_Angeles_California.html'>San Antonio Winery</a>,Wineries & Vineyards,4.5,174.0,#147,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/63/0f/a3/los-angeles-county-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d106166-Reviews-Los_Angeles_County_Museum_of_Art-Los_Angeles_California.html'>Los Angeles County Museum of Art</a>,Art Museums,4.5,2789.0,#19,8
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/ef/aa/57/nice-community-feel.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d10797790-Reviews-South_Pasadena_Farmers_Market-Pasadena_California.html'>South Pasadena Farmers' Market</a>,Farmers Markets,4.5,17.0,#253,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/54/92/9d/the-broad-museum-grand.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d8645857-Reviews-The_Broad-Los_Angeles_California.html'>The Broad</a>,Art Museums,4.5,1710.0,#29,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/55/b3/fd/autry-national-center.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156644-Reviews-Autry_Museum_of_the_American_West-Los_Angeles_California.html'>Autry Museum of the American West</a>,History Museums,4.5,611.0,#65,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b6/bf/13/photo3jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33182-d9850688-Reviews-Torrance_Certified_Farmers_Market-Torrance_California.html'>Torrance Certified Farmers' Market</a>,Farmers Markets,4.5,18.0,#252,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0b/e4/04/annenberg-space-for-photograph.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2554782-Reviews-Annenberg_Space_for_Photography-Los_Angeles_California.html'>Annenberg Space for Photography</a>,Art Galleries,4.5,319.0,#99,13
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/81/5f/00/entering-the-market.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d3473982-Reviews-Pasadena_City_College_Flea_Market-Pasadena_California.html'>Pasadena City College Flea Market</a>,Flea & Street Markets,4.5,21.0,#249,14
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/77/71/be/by-justefrain-available.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d108333-Reviews-Japanese_American_National_Museum-Los_Angeles_California.html'>Japanese American National Museum</a>,Specialty Museums,4.5,367.0,#88,15
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/65/b0/2c/the-blvd.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32607-d2521039-Reviews-The_BLVD-Lancaster_California.html'>The BLVD</a>,Neighborhoods,4.5,189.0,#141,16
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/b3/22/armand-hammer-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127420-Reviews-Hammer_Museum-Los_Angeles_California.html'>Hammer Museum</a>,Art Galleries,4.0,181.0,#143,17
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/0d/12/f8/getlstd-property-photo.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32215-d11962893-Reviews-Claremont_Farmers_and_Artisans_Market-Claremont_California.html'>Claremont Farmers and Artisans Market</a>,Farmers Markets,4.5,11.0,#259,18
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/6e/98/14/airplane-wreckage-sculpture.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127399-Reviews-The_Museum_of_Contemporary_Art-Los_Angeles_California.html'>The Museum of Contemporary Art</a>,Art Museums,4.0,291.0,#105,19
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/8e/54/7b/bricks-and-scones.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d289361-Reviews-Larchmont_Village-Los_Angeles_California.html'>Larchmont Village</a>,Neighborhoods,4.5,30.0,#240,20
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/47/dc/7f/natural-history-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d103412-Reviews-Natural_History_Museum_of_Los_Angeles_County-Los_Angeles_California.html'>Natural History Museum of Los Angeles County</a>,Natural History Museums,4.5,1321.0,#35,21
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/91/ae/c8/long-beach-antique-market.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32648-d6697531-Reviews-Long_Beach_Antique_Market-Long_Beach_California.html'>Long Beach Antique Market</a>,Antique Stores,4.5,25.0,#245,22
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33268-d1494255-Reviews-Farmer_s_market-Whittier_California.html'>Farmer's market</a>,Flea & Street Markets,4.0,18.0,#252,23
