pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/70/c5/d8/santa-anita-race-park.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g29105-d2482851-Reviews-Santa_Anita_Race_Park-Arcadia_California.html'>Santa Anita Race Park</a>,Horse Tracks,4.5,412.0,#80,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b1/2a/a9/june-26-2017.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32136-d3609867-Reviews-Malibu_Hindu_Temple-Calabasas_California.html'>Malibu Hindu Temple</a>,Sacred & Religious Sites,4.0,53.0,#217,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c8/54/2d/hsi-lai-temple.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32468-d4913474-Reviews-Hsi_Lai_Temple-Hacienda_Heights_California.html'>Hsi Lai Temple</a>,Points of Interest & Landmarks,5.0,77.0,#196,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ee/a9/03/photo0jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32911-d5536833-Reviews-Auto_Club_Raceway_at_Pomona-Pomona_California.html'>Auto Club Raceway at Pomona</a>,Auto Race Tracks,4.5,37.0,#233,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/44/7e/rodeo-drive.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32070-d116580-Reviews-Rodeo_Drive-Beverly_Hills_California.html'>Rodeo Drive</a>,Points of Interest & Landmarks,4.0,5491.0,#9,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/58/c4/53/great-museum.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32911-d108098-Reviews-Wally_Parks_NHRA_Motorsports_Museum-Pomona_California.html'>Wally Parks NHRA Motorsports Museum</a>,Specialty Museums,4.5,87.0,#191,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/cd/68/b9/textile-area.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156676-Reviews-LA_Fashion_District-Los_Angeles_California.html'>LA Fashion District</a>,Neighborhoods,4.0,276.0,#113,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7c/bc/a2/einfach-ein-super-ritt.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32597-d7942606-Reviews-Running_Horse_Ranch-Lake_Hughes_California.html'>Running Horse Ranch</a>,Nature & Wildlife Areas,5.0,50.0,#220,8
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32177-d11878460-Reviews-Porsche_Experience_Center_Los_Angeles-Carson_California.html'>Porsche Experience Center - Los Angeles</a>,Adrenaline & Extreme Tours,4.5,59.0,#212,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/27/a2/3a/photo5jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d258226-Reviews-Cathedral_of_Our_Lady_of_the_Angels-Los_Angeles_California.html'>Cathedral of Our Lady of the Angels</a>,Architectural Buildings,4.5,543.0,#71,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/aa/d5/95/getlstd-property-photo.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g29105-d6496840-Reviews-Vine_Vera-Arcadia_California.html'>Vine Vera</a>,Spas,4.5,283.0,#109,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/93/bd/3f/irwindale-speedway-night.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32531-d2287594-Reviews-Irwindale_Event_Center-Irwindale_California.html'>Irwindale Event Center</a>,Auto Race Tracks,4.5,21.0,#249,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/21/e2/b7/take-only-memories-leave.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g29069-d1876111-Reviews-Malibu_Riders-Agoura_Hills_California.html'>Malibu Riders</a>,Horseback Riding Tours,4.5,34.0,#236,13
