class,name,website
city,agoura_hills,https://www.tripadvisor.com/Attractions-g29069-Activities-Agoura_Hills_California.html
city,alhambra,https://www.tripadvisor.com/Attractions-g29078-Activities-Alhambra_California.html
city,arcadia,https://www.tripadvisor.com/Attractions-g29105-Activities-Arcadia_California.html
city,artesia,https://www.tripadvisor.com/Attractions-g29112-Activities-Artesia_California.html
city,avalon,https://www.tripadvisor.com/Attractions-g29121-Activities-Avalon_Catalina_Island_California.html
other,channel_islands,https://www.tripadvisor.com/Attractions-g143019-Activities-Channel_Islands_National_Park_California.html
city,azusa,https://www.tripadvisor.com/Attractions-g29125-Activities-Azusa_California.html
city,baldwin_park,https://www.tripadvisor.com/Attractions-g32038-Activities-Baldwin_Park_California.html
city,bell,
city,bell_gardens,https://www.tripadvisor.com/Attractions-g32057-Activities-Bell_Gardens_California.html
city,bellflower,https://www.tripadvisor.com/Attractions-g32059-Activities-Bellflower_California.html
city,beverly_hills,https://www.tripadvisor.com/Attractions-g32070-Activities-Beverly_Hills_California.html
city,bradbury,
city,burbank,https://www.tripadvisor.com/Attractions-g32123-Activities-Burbank_California.html
city,calabasas,https://www.tripadvisor.com/Attractions-g32136-Activities-Calabasas_California.html
city,carson,https://www.tripadvisor.com/Attractions-g32177-Activities-Carson_California.html
city,cerritos,https://www.tripadvisor.com/Attractions-g32196-Activities-Cerritos_California.html
city,claremont,https://www.tripadvisor.com/Attractions-g32215-Activities-Claremont_California.html
city,commerce,
city,compton,https://www.tripadvisor.com/Attractions-g32242-Activities-Compton_California.html
city,covina,https://www.tripadvisor.com/Attractions-g32260-Activities-Covina_California.html
city,cudahy,
city,culver_city,https://www.tripadvisor.com/Attractions-g32272-Activities-Culver_City_California.html
city,diamond_bar,https://www.tripadvisor.com/Attractions-g32296-Activities-Diamond_Bar_California.html
city,downey,https://www.tripadvisor.com/Attractions-g32308-Activities-Downey_California.html
city,duarte,
city,el_monte,https://www.tripadvisor.com/Attractions-g32338-Activities-El_Monte_California.html
city,el_segundo,https://www.tripadvisor.com/Attractions-g32341-Activities-El_Segundo_California.html
city,gardena,https://www.tripadvisor.com/Attractions-g32422-Activities-Gardena_California.html
city,glendale,https://www.tripadvisor.com/Attractions-g32431-Activities-Glendale_California.html
city,glendora,https://www.tripadvisor.com/Attractions-g32432-Activities-Glendora_California.html
city,hawaiian_gardens,https://www.tripadvisor.com/Attractions-g32477-Activities-Hawaiian_Gardens_California.html
city,hawthorne,https://www.tripadvisor.com/Attractions-g32478-Activities-Hawthorne_California.html
