county,class,name,website,,,,,,
San Luis Obispo,county,san_luis_obispo,https://www.tripadvisor.com/Attractions-g2398119-Activities-San_Luis_Obispo_County_California.html,,,,,,
orange,county,orange,https://www.tripadvisor.com/Attractions-g659482-Activities-Orange_County_California.html,,,,,,
Kern,City,bakersfield,https://www.tripadvisor.com/Attractions-g32037-Activities-Bakersfield_California.html,,,,,,
Kern,City,delano,https://www.tripadvisor.com/Attractions-g32288-Activities-Delano_California.html,,,,,,
Kern,CDP,oildale,,,,,,,
Kern,City,ridgecrest,https://www.tripadvisor.com/Attractions-g32966-Activities-Ridgecrest_California.html,,,,,,
Kern,City,wasco,https://www.tripadvisor.com/Attractions-g33238-Activities-Wasco_California.html,,,,,,
Kern,City,arvin,https://www.tripadvisor.com/Attractions-g29114-Activities-Arvin_California.html,,,,,,
Kern,CDP,rosamond,https://www.tripadvisor.com/Attractions-g32986-Activities-Rosamond_California.html,,,,,,
Kern,City,shafter,https://www.tripadvisor.com/Attractions-g33075-Activities-Shafter_California.html,,,,,,
Kern,CDP,lamont,,,,,,,
Kern,City,tehachapi,https://www.tripadvisor.com/Attractions-g33163-Activities-Tehachapi_California.html,,,,,,
Kern,City,california_city,https://www.tripadvisor.com/Attractions-g32139-Activities-California_City_California.html,,,,,,
Kern,CDP,rosedale,,,,,,,
Kern,City,mcfarland,https://www.tripadvisor.com/Attractions-g9832020-Activities-McFarland_California.html,,,,,,
Kern,City,taft,https://www.tripadvisor.com/Attractions-g33154-Activities-Taft_California.html,,,,,,
Kern,CDP,golden_hills,,,,,,,
Kern,CDP,greenacres,,,,,,,
Kern,CDP,bear_valley_springs,,,,,,,
Kern,CDP,ford_city,,,,,,,
Kern,CDP,mojave,https://www.tripadvisor.com/Attractions-g32725-Activities-Mojave_California.html,,,,,,
Kern,CDP,greenfield,,,,,,,
Kern,CDP,lake_isabella,https://www.tripadvisor.com/Attractions-g32598-Activities-Lake_Isabella_California.html,,,,,,
Kern,CDP,frazier_park,https://www.tripadvisor.com/Attractions-g32408-Activities-Frazier_Park_California.html,,,,,,
Kern,CDP,weedpatch,,,,,,,
Kern,CDP,weldon,https://www.tripadvisor.com/Attractions-g33247-Activities-Weldon_California.html,,,,,,
Kern,CDP,stallion_springs,,,,,,,
Kern,CDP,lost_hills,https://www.tripadvisor.com/Attractions-g32662-Activities-Lost_Hills_California.html,,,,,,
Kern,CDP,pine_mountain_club,https://www.tripadvisor.com/Attractions-g1592318-Activities-Pine_Mountain_Club_California.html,,,,,,
Kern,CDP,boron,https://www.tripadvisor.com/Attractions-g32098-Activities-Boron_California.html,,,,,,
Kern,CDP,wofford_heights,https://www.tripadvisor.com/Attractions-g33285-Activities-Wofford_Heights_California.html,,,,,,
Kern,CDP,south_taft,,,,,,,
Kern,CDP,edwards_afb,https://www.tripadvisor.com/Attractions-g32330-Activities-Edwards_California.html,,,,,,
Kern,CDP,bodfish,https://www.tripadvisor.com/Attractions-g32092-Activities-Bodfish_California.html,,,,,,
Kern,CDP,taft_heights,,,,,,,
Kern,CDP,china_lake_acres,,,,,,,
Kern,CDP,buttonwillow,https://www.tripadvisor.com/Attractions-g32132-Activities-Buttonwillow_California.html,,,,,,
Kern,CDP,lebec,https://www.tripadvisor.com/Attractions-g32616-Activities-Lebec_California.html,,,,,,
Kern,CDP,Kernville,https://www.tripadvisor.com/Attractions-g32556-Activities-Kernville_California.html,,,,,,
Kern,City,maricopa,https://www.tripadvisor.com/Attractions-g32682-Activities-Maricopa_California.html,,,,,,
Kern,CDP,inyokern,https://www.tripadvisor.com/Attractions-g32682-Activities-Maricopa_California.html,,,,,,
Kern,CDP,north_edwards,,,,,,,
Kern,CDP,fuller_acres,,,,,,,
Kern,CDP,lake_of_the_woods,,,,,,,
Kern,CDP,mountain_mesa,,,,,,,
Kern,CDP,dustin_acres,,,,,,,
Kern,CDP,squirrel_mountain_valley,,,,,,,
Kern,CDP,valley_acres,,,,,,,
Kern,CDP,smith_corner,,,,,,,
Kern,CDP,onyx,,,,,,,
Kern,CDP,Keene,https://www.tripadvisor.com/Attractions-g32550-Activities-Keene_California.html,,,,,,
