tag,place,user
"""been""","Cheyenne, WY, USA",mallen1205
"""been""","Los Angeles, CA, USA",mallen1205
"""been""","Healy, AK, USA",mallen1205
"""been""","Denali National Park and Preserve, AK, USA",mallen1205
"""been""","Carlsbad, CA, USA",mallen1205
"""been""","Coronado, CA, USA",mallen1205
"""been""","San Diego, CA, USA",mallen1205
