TA_url,rating,gps,url,type,name,pic,attraction,num_reviews
https://www.tripadvisor.com/Attraction_Review-g32911-d18381112-Reviews-Animanga-Pomona_California.html,45,"[('34.08518', '-117.76577')]",http://www.animangausa.com/,Cultural Events,Animanga,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/34/3e/96/animanga-usa-anime-gaming.jpg?w=800&h=400&s=1,Animanga,34
https://www.tripadvisor.com/Attraction_Review-g32655-d15573475-Reviews-Statue_of_King_Carlos_III-Los_Angeles_California.html,35,"[('34.04249', '-118.25141')]",https://www.tripadvisor.com/Attraction_Review-g32655-d15573475-Reviews-Statue_of_King_Carlos_III-Los_Angeles_California.html,Monuments & Statues,Statue of King Carlos III,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e5/0b/d3/king-carlo-iii.jpg?w=800&h=400&s=1,Statue_of_King_Carlos_III,3
https://www.tripadvisor.com/Attraction_Review-g33049-d8592537-Reviews-Santa_Fe_Springs_Swap_Meet-Santa_Fe_Springs_California.html,35,"[('33.89', '-118.03456')]",http://sfsswapmeet.com/,Flea & Street Markets,Santa Fe Springs Swap Meet,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/b9/a8/93/sante-fe-springs-swap.jpg?w=800&h=400&s=1,Santa_Fe_Springs_Swap_Meet,11
https://www.tripadvisor.com/Attraction_Review-g32655-d15579106-Reviews-Father_Serra_Park-Los_Angeles_California.html,30,"[('34.055977', '-118.2384')]",http://www.laparks.org/park/los-angeles-plaza,Parks,Father Serra Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e2/50/e9/father-serra-park.jpg?w=800&h=400&s=1,Father_Serra_Park,1
https://www.tripadvisor.com/Attraction_Review-g32580-d4590055-Reviews-Starplex_Cinema-La_Mirada_California.html,40,"[('33.89872', '-118.00525')]",http://www.movieticketsandshowtimes.com/starplex-cinemas/movietheaterchain,Movie Theaters,Starplex Cinema,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/dc/2e/c4/starplex-cinema.jpg?w=800&h=400&s=1,Starplex_Cinema,12
https://www.tripadvisor.com/Attraction_Review-g32676-d127533-Reviews-Zuma_Beach-Malibu_California.html,45,"[('34.02125', '-118.82982')]",http://beaches.lacounty.gov/zuma-beach/,Beaches,Zuma Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e7/b5/f4/zuma-beach-2.jpg?w=800&h=400&s=1,Zuma_Beach,819
https://www.tripadvisor.com/Attraction_Review-g32655-d6200318-Reviews-Valley_Relics_Museum-Los_Angeles_California.html,45,"[('34.213833', '-118.50038')]",http://www.valleyrelicsmuseum.org/,Specialty Museums,Valley Relics Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2c/71/05/a-portion-of-our-neon.jpg?w=800&h=400&s=1,Valley_Relics_Museum,15
https://www.tripadvisor.com/Attraction_Review-g32655-d560753-Reviews-Canoga_Owensmouth_Historical_Museum-Los_Angeles_California.html,40,"[('34.20252', '-118.60118')]",https://www.tripadvisor.com/Attraction_Review-g32655-d560753-Reviews-Canoga_Owensmouth_Historical_Museum-Los_Angeles_California.html,History Museums,Canoga-Owensmouth Historical Museum,,Canoga_Owensmouth_Historical_Museum,1
https://www.tripadvisor.com/Attraction_Review-g33112-d8755052-Reviews-Legg_Lake_Park_Whittier_Narrows_Recreation_Area-South_El_Monte_California.html,45,"[('34.034805', '-118.053955')]",http://parks.lacounty.gov/wps/portal/dpr/Parks/Whittier_Narrows_Recreation_Area,Parks,"Legg Lake Park, Whittier Narrows Recreation Area",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/57/da/ff/legg-lake-park-whittier.jpg?w=800&h=400&s=1,Legg_Lake_Park_Whittier_Narrows_Recreation_Area,17
https://www.tripadvisor.com/Attraction_Review-g32573-d8636366-Reviews-United_Artists_La_Canada_8-La_Canada_Flintridge_California.html,40,"[('34.20554', '-118.21721')]",http://www.regmovies.com/Theatres/Theatre-Folder/UA-La-Canada-8-2652,Movie Theaters,United Artists La Canada 8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d4/f6/20/united-artists.jpg?w=800&h=400&s=1,United_Artists_La_Canada_8,38
https://www.tripadvisor.com/Attraction_Review-g33029-d4028790-Reviews-The_Old_Mill-San_Marino_California.html,45,"[('34.11937', '-118.12765')]",http://www.old-mill.org/,Sightseeing Tours,The Old Mill,,The_Old_Mill,11
